iata,name,city,country,lat,lng
UTK,Utirik Airport,Utirik Island,MH,11.222219,169.851429
OCA,Ocean Reef Club Airport,Key Largo,US,25.325399,-80.274803
CSE,Crested Butte Airpark,Crested Butte,US,38.851918,-106.928341
CUS,Columbus Airport,Columbus,US,31.823898,-107.629924
JCY,LBJ Ranch Airport,Stonewall,US,30.251801,-98.622498
WLR,Loring Seaplane Base,Loring,US,55.601299,-131.636993
NUP,Nunapitchuk Airport,Nunapitchuk,US,60.905591,-162.440454
PTC,Port Alice Seaplane Base,Port Alice,US,55.803,-133.597
ICY,Icy Bay Airport,Icy Bay,US,59.966269,-141.660118
PPV,Port Protection Seaplane Base,Port Protection,US,56.3288,-133.610001
KKK,Kalakaket Creek AS Airport,Kalakaket Creek,US,64.4166256967,-156.820392609
MHS,Dunsmuir Muni-Mott Airport,Dunsmuir,US,41.263199,-122.272003
NIR,Chase Field Industrial Airport,Beeville,US,28.362444,-97.661917
GCT,Grand Canyon Bar Ten Airstrip,Littlefield,US,36.257984,-113.231063
ELW,Ellamar Seaplane Base,Ellamar,US,60.893818,-146.704038
LVD,Lime Village Airport,Lime Village,US,61.3591003418,-155.440002441
HGZ,Hog River Airport,Hogatza,US,66.176133,-155.684816
OTN,Ed-Air Airport,Oaktown,US,38.851782,-87.49987
TLF,Telida Airport,Telida,US,63.393902,-153.268997
BZT,Eagle Air Park,Brazoria,US,28.982200622559,-95.579696655273
HBH,Entrance Island Seaplane Base,Entrance Island,US,57.412201,-133.43848
FAK,False Island Seaplane Base,False Island,US,57.5321998596,-135.212997437
BYW,Blakely Island Airport,Blakely Island,US,48.579162,-122.823844
DRF,Drift River Airport,Kenai,US,60.588901519800004,-152.162002563
BDF,Rinkenberger Restricted Landing Area,Bradford,US,41.230899810800004,-89.61569976810001
TEH,Tetlin Airport,Tetlin,US,63.124618,-142.518005
VRS,Roy Otten Memorial Airfield,Versailles,US,38.427799224854,-92.875198364258
GDH,Golden Horn Lodge Seaplane Base,Golden Horn Lodge,US,59.7470016479,-158.875
ATT,Atmautluak Airport,Atmautluak,US,60.866699,-162.272996
LIV,Livengood Camp Airport,Livengood,US,65.467,-148.6534
PDB,Pedro Bay Airport,Pedro Bay,US,59.796925,-154.129994
KOZ,Ouzinkie Airport,Ouzinkie,US,57.942094,-152.464314
TNK,Tununak Airport,Tununak,US,60.569638,-165.246649
WHD,Hyder Seaplane Base,Hyder,US,55.903324,-130.009975
MNT,Minto Al Wright Airport,Minto,US,65.147991,-149.368658
TKI,Tokeen Seaplane Base,Tokeen,US,55.937099,-133.326996
WKK,Aleknagik / New Airport,Aleknagik,US,59.2826004028,-158.617996216
WFB,Ketchikan Harbor Seaplane Base,Ketchikan,US,55.349899,-131.677002
RFK,Rollang Field,Rolling Fork,US,32.953543,-90.845144
NNK,Naknek Airport,Naknek,US,58.735633,-157.02216
BKF,Lake Brooks Seaplane Base,Katmai National Park,US,58.554798,-155.776993
BCS,Southern Seaplane Airport,Belle Chasse,US,29.866078,-90.021608
MMN,Minute Man Air Field,Stow,US,42.460298,-71.519031
SPQ,Catalina Air-Sea Terminal Heliport,San Pedro,US,33.7491989136,-118.275001526
TSS,East 34th Street Heliport,New York,US,40.742372,-73.972074
NYS,New York Skyports Inc Seaplane Base,New York,US,40.735061,-73.972814
WYB,Yes Bay Lodge Seaplane Base,Yes Bay,US,55.916302,-131.800995
CWS,Center Island Airport,Center Island,US,48.490046,-122.831612
TEK,Tatitlek Airport,Tatitlek,US,60.871449,-146.690297
DUF,Pine Island Airport,Corolla,US,36.252744,-75.785256
SSW,Stuart Island Airpark,Friday Harbor,US,48.673379,-123.175439
FOB,Fort Bragg Airport,Fort Bragg,US,39.472445,-123.795319
PUL,Port of Poulsbo Marina Moorage Seaplane Base,Poulsbo,US,47.734001159668,-122.64700317383
CCD,Century City Heliport,Los Angeles,US,34.060798645,-118.417999268
WMK,Meyers Chuck Seaplane Base,Meyers Chuck,US,55.739601,-132.255005
AXB,Maxson Airfield,Alexandria Bay,US,44.312002,-75.90034
REE,Reese Airpark,Lubbock,US,33.590301513672,-102.03700256348
WDN,Waldron Airstrip,Eastsound,US,48.71141,-123.018208
WWP,Whale Pass Seaplane Float Harbor Facility,Whale Pass,US,56.116299,-133.121994
CHU,Chuathbaluk Airport,Chuathbaluk,US,61.579102,-159.216003
UGS,Ugashik Airport,Ugashik,US,57.523476,-157.396344
JID,Recreation and Conference Center Heliport,City of Industry,US,34.020472,-117.927396
